We have 342 topology rules
100000 --> ( 120000 )
110001 --> ( 120001 )
110002 --> ( 120002 )
110003 --> ( 120003 )
110004 --> ( 120004 )
110005 --> ( 120005 )
110006 --> ( 120006 )
110007 --> ( 120007 )
110008 --> ( 120008 )
110009 --> ( 120009 )
110010 --> ( 120010 )
110011 --> ( 120011 )
110012 --> ( 120012 )
110013 --> ( 120013 )
110015 --> ( 120015 )
110018 --> ( 120018 )
110019 --> ( 120019 )
110021 --> ( 120021 )
110022 --> ( 120022 )
110023 --> ( 120023 )
110024 --> ( 120024 )
110025 --> ( 120025 )
110026 --> ( 120026 )
110028 --> ( 120028 )
110030 --> ( 120030 )
110032 --> ( 120032 )
110033 --> ( 120033 )
110034 --> ( 120034 )
110037 --> ( 120037 )
110038 --> ( 120038 )
110039 --> ( 120039 )
110040 --> ( 120040 )
110041 --> ( 120041 )
110042 --> ( 120042 )
110043 --> ( 120043 )
120001 --> ( 300006 1200001 )
120003 --> ( 400001 1600009 1100006 )
120012 --> ( 800001 600001 900007 1300008 )
120015 --> ( 1500006 )
120023 --> ( 200012 )
120024 --> ( 500010 1400001 )
120025 --> ( 700006 1000002 )
200000 --> ( 220000 )
210002 --> ( 220002 )
210003 --> ( 220003 )
210004 --> ( 220004 )
210005 --> ( 220005 )
210006 --> ( 220006 )
210007 --> ( 220007 )
210008 --> ( 220008 )
210009 --> ( 220009 )
210010 --> ( 220010 )
210011 --> ( 220011 )
210012 --> ( 220012 )
210013 --> ( 220013 )
210014 --> ( 220014 )
210015 --> ( 220015 )
210017 --> ( 220017 )
210018 --> ( 220018 )
210019 --> ( 220019 )
210020 --> ( 220020 )
210022 --> ( 220022 )
210023 --> ( 220023 )
220004 --> ( 300001 1200007 )
220005 --> ( 700001 1000007 )
220009 --> ( 400006 1100001 1600008 )
220010 --> ( 1500036 )
220012 --> ( 100023 )
220013 --> ( 800006 600008 900001 1300001 )
220019 --> ( 500001 1400008 )
300000 --> ( 320000 )
310001 --> ( 320001 )
310003 --> ( 320003 )
310004 --> ( 320004 )
310006 --> ( 320006 )
310007 --> ( 320007 )
310008 --> ( 320008 )
310009 --> ( 320009 )
310028 --> ( 320028 )
310033 --> ( 320033 )
310034 --> ( 320034 )
310035 --> ( 320035 )
310038 --> ( 320038 )
310051 --> ( 320051 )
310056 --> ( 320056 )
320001 --> ( 200004 )
320006 --> ( 100001 )
320007 --> ( 400007 )
400000 --> ( 420000 )
